Tahun_Ajaran,Tahun_Penduduk,Kecamatan,Jumlah_Penduduk,Jumlah_Guru_SD,Jumlah_Siswa_SD,Jumlah_Rombel_SD,Rasio_Siswa_Guru,Jumlah_Penduduk_Zscore,Jumlah_Guru_SD_Zscore,Jumlah_Siswa_SD_Zscore,Jumlah_Rombel_SD_Zscore,Rasio_Siswa_Guru_Zscore
2025-2026,2024,Bukit Kecil,38.195,306,5094,200,16.647058823529413,-1.678421759123531,-0.6092401585550314,-0.6221928036118041,-0.8668216796321764,-0.40332312092646905
2025-2026,2024,Gandus,83.882,309,6759,257,21.87378640776699,-0.3566819820089979,-0.5918188120134018,-0.24221321514854918,-0.43845084751779584,0.4464979784101002
2025-2026,2024,Ilir Barat I,154.738,833,14286,573,17.150060024009605,1.6932051554092467,2.451109717257904,1.4755683838682192,1.9363769235022783,-0.3215394376809906
2025-2026,2024,Ilir Barat II,69.871,202,3982,157,19.712871287128714,-0.762024771361587,-1.2131801719981914,-0.875968961192068,-1.18997862315706,0.09515170413096934
2025-2026,2024,Ilir Timur I,66.124,317,5055,218,15.946372239747634,-0.8704267006817032,-0.5453618879023895,-0.631093226404637,-0.7315466800171088,-0.5172487528487374
2025-2026,2024,Ilir Timur II,85.005,368,6578,289,17.875,-0.32419322657091687,-0.24919899669468612,-0.2835203055460562,-0.19796195931323138,-0.20367041209659142
2025-2026,2024,Ilir Timur III,74.562,364,6006,238,16.5,-0.6263126148522018,-0.27242745875019225,-0.41405983984094014,-0.5812411248892561,-0.4272336249779516
2025-2026,2024,Jakabaring,94.583,430,8796,340,20.455813953488374,-0.04709856977132398,0.11084216516565919,0.22266271380018968,0.18531720626279327,0.21594781284224937
2025-2026,2024,Kalidoni,133.017,744,14658,571,19.701612903225808,1.0648095571273553,1.934276436522892,1.5604647243537033,1.921346367989493,0.09332118742028905
2025-2026,2024,Kemuning,82.167,642,11076,419,17.252336448598133,-0.406297490091197,1.341950654107485,0.7429951232273495,0.7790241490178118,-0.30491016780242375
2025-2026,2024,Kertapati,99.576,463,9271,382,20.02375809935205,0.09735054501259391,0.3024769771235849,0.33106529909751464,0.5009588720312842,0.14569923473685548
2025-2026,2024,Plaju,99.559,526,10071,396,19.14638783269962,0.0968587294805839,0.6683252544978068,0.5136380743351145,0.6061727606207811,0.003046350591842287
2025-2026,2024,Sako,117.573,475,10776,375,22.686315789473685,0.6180096114588532,0.3721623632901034,0.6745303325132496,0.44835192773653565,0.5786082905081759
2025-2026,2024,Seberang Ulu I,96.058,287,5949,232,20.72822299651568,-0.004426339788091387,-0.7195753533186856,-0.42706815007661914,-0.6263327914276119,0.26023918802561025
2025-2026,2024,Seberang Ulu II,106.752,324,5781,229,17.84259259259259,0.30495456017169587,-0.5047120793052537,-0.4654084328765151,-0.6488786246967898,-0.20893957873015898
2025-2026,2024,Sematang Borang,70.87,156,3898,125,24.987179487179485,-0.7331233762746381,-1.4803074856365122,-0.895139102592016,-1.4304675113616243,0.9527090037163181
2025-2026,2024,Sukarami,212.241,833,19805,669,23.775510204081634,3.3567856575962365,2.451109717257904,2.735092317038612,2.6578435881159717,0.7557019652588561
