Kecamatan,Nama Sekolah,Tahun,Jumlah Penduduk,Status,Siswa,Guru,Rombel
Gandus,SD ISLAM TERPADU AL HIDAYAH,2022-2023,78722,Swasta,54,4,3
Gandus,SD MUHAMMADIYAH 12 PALEMBANG,2022-2023,78722,Swasta,296,13,10
Gandus,SD NEGERI 142 PALEMBANG,2022-2023,78722,Negeri,305,16,13
Gandus,SD NEGERI 143 PALEMBANG,2022-2023,78722,Negeri,755,28,24
Gandus,SD NEGERI 144 PALEMBANG,2022-2023,78722,Negeri,754,26,25
Gandus,SD NEGERI 145 PALEMBANG,2022-2023,78722,Negeri,142,11,6
Gandus,SD NEGERI 146 PALEMBANG,2022-2023,78722,Negeri,372,18,13
Gandus,SD NEGERI 147 PALEMBANG,2022-2023,78722,Negeri,350,18,12
Gandus,SD NEGERI 148 PALEMBANG,2022-2023,78722,Negeri,549,22,19
Gandus,SD NEGERI 149 PALEMBANG,2022-2023,78722,Negeri,721,26,24
Gandus,SD NEGERI 150 PALEMBANG,2022-2023,78722,Negeri,455,19,15
Gandus,SD NEGERI 151 PALEMBANG,2022-2023,78722,Negeri,259,12,11
Gandus,SD NEGERI 152 PALEMBANG,2022-2023,78722,Negeri,72,11,6
Gandus,SD NEGERI 153 PALEMBANG,2022-2023,78722,Negeri,78,8,6
Gandus,SD NEGERI 154 PALEMBANG,2022-2023,78722,Negeri,101,11,6
Gandus,SD NEGERI 155 PALEMBANG,2022-2023,78722,Negeri,230,14,10
Gandus,SD TUNAS TELADAN PALEMBANG,2022-2023,78722,Swasta,640,27,22
Gandus,SD ISLAM SOPIAH,2023-2024,81146,Swasta,49,3,2
Gandus,SD ISLAM TERPADU AL HIDAYAH,2023-2024,81146,Swasta,81,10,4
Gandus,SD MUHAMMADIYAH 12 PALEMBANG,2023-2024,81146,Swasta,284,14,11
Gandus,SD NEGERI 142 PALEMBANG,2023-2024,81146,Negeri,286,15,12
Gandus,SD NEGERI 143 PALEMBANG,2023-2024,81146,Negeri,729,29,24
Gandus,SD NEGERI 144 PALEMBANG,2023-2024,81146,Negeri,752,30,24
Gandus,SD NEGERI 145 PALEMBANG,2023-2024,81146,Negeri,146,9,7
Gandus,SD NEGERI 146 PALEMBANG,2023-2024,81146,Negeri,377,17,14
Gandus,SD NEGERI 147 PALEMBANG,2023-2024,81146,Negeri,359,16,12
Gandus,SD NEGERI 148 PALEMBANG,2023-2024,81146,Negeri,573,27,22
